propname,npropname
Diarrhea,"Pyrogenium, Aconitum nap., Arg. nit., Arsenicum alb., Baptisia, Bryonia, Carbo veg., Chamomilla, Cinchona, Collinsonia, Colocynthis, Elaterium, Gelsemium, Ipecac., Iris versicolor, Lycopodium, Podoph. pelt., Raphanus, Tabacum, Vaccinium, Zingiber, Aesculus hipp., Juglans regia"
Stage Fright - Fear,"Aconitum nap., Anacardium orientale, Arg. nit., Arsenicum alb., Cypripedium, Gelsemium, Ignatia, Kali carb., Lycopodium, Nat.mur., Phosphorus, Sambucus nig., Sepia, Staphysag., Stramonium, Tarentula hispana, Theridion, Passiflora, Valeriana"
Libido,"Agnus, Aralia quinquefolia, Baryta carb., Berber. vulg., Bryonia, Caladium seguinum, Cantharis, Causticum, Chelidonium majus, Cinchona, Conium, Gaultheria procumbens, Graphites, Kali carb., Lycopodium, Nux vom., Onosmodium virginianum, Phosphorus, Sabal, Selenium, Sepia, Silicea, Staphysag., Hydrastis, Thuja occ"
Accident - Injury Rescue,"Aconitum nap, Arnica, Bellis, Calendula, Echinacea, Gelsemium, Hamamelis, Hypericum, Ledum, Phosphorus, Rhus toxicodendron, Ruta, Staphysag., Symphytum, Hydrastis canadensis."
Warts - Moles - Skin Tags,"Antimon. crud., Bryonia, Calc.carb., Causticum, Dulcamara, Graphites, Lycopodium, Merc. sulph. rub., Nat. carb., Nitricum ac., Nux vom., Rhus toxicodendron, Sabina, Sepia, Silicea, Staphysag., Sulphur, Thuja occ., Taraxacum"
Muscle Ease,"Aconitum nap., Antimon. tart.,Arg. nit., Arnica, Bryonia, Chamomilla,Chelidonium majus, Cimicifuga, Eupatorium perf.,Hypericum, Nux vom., Rhus toxicodendron, Ruta,Sarcolacticum ac., Stramonium, Strychninum,Chamomilla, Phytolacca, Ruta, Symphytum."
Bug Bites - Itch Stopper,"Pyrogenium, Apis mel., Aranea diadema, Arnica, Arsenicum alb., Azadirachta indica, Bryonia, Caladium seguinum, Calendula, Formica, Grindelia, Hypericum, Lachesis, Latrodectus mactans, Ledum, Mezereum, Nux vom., Pulex irritans, Rhus toxicodendron, Tarentula cubensis, Tarentula hispana, Theridion, Thuja occ., Vespa crabro, Echinacea, Hamamelis, Solidago"
Cold Sores,"Arsenicum alb., Bryonia, Cantharis, Chelidonium majus, Cistus canadensis, Conium, Croton, Dulcamara, Graphites, Kali bic., Lycopodium, Mezereum, Nux vom., Petroleum, Pulsatilla, Ranunc. bulb., Rhus toxicodendron, Sarsaparilla, Sepia, Sulphur, Thuja occ., Echinacea, Hypericum"
Caffeine Withdrawal,"Aconitum nap., Arg. nit., Arsenicum alb., Belladonna, Benzoicum acidum, Berber. vulg., Bryonia, Cantharis, Ceanothus, Chelidonium majus, Chionanthus virginica, Cinchona, Coffea cruda, Conium, Gelsemium, Ignatia, Iris versicolor, Mezereum, Nux vom., Passiflora, Pulsatilla, Rhus toxicodendron, Scutellaria lateriflora, Staphysag., Chamomilla, Taraxacum, Valeriana"
Eye Care,"Aconitum nap., Allium cepa, Arsenicum alb., Bryonia, Calendula, Chelidonium majus, Cineraria, Euphrasia, Graphites, Lycopodium, Merc. corros., Nux vom., Phosphorus, Phytolacca, Picricum ac., Pulsatilla, Rhus toxicodendron, Sulphur, Echinacea"
Teeth - Gums,"Aconitum nap., Arnica, Arsenicum alb., Baptisia, Belladonna, Bryonia, Calendula, Chamomilla, Chelidonium majus, Crotalus horridus, Gelsemium, Hepar sulph. calc., Kreosotum, Merc. viv., Myrrha, Nux vom., Phosphorus, Phytolacca, Plantago, Rhus toxicodendron, Silicea, Staphysag., Echinacea"
Hives - Rashes,"Antimon. crud., Apis mel., Arsenicum alb., Berber. vulg., Bovista, Bryonia, Cantharis, Chelidonium majus, Croton, Dulcamara, Graphites, Histaminum hydrochloricum, Lycopodium, Mezereum, Nux vom., Petroleum, Pulex irritans, Pulsatilla, Rhus toxicodendron, Sarsaparilla, Sulphur, Echinacea, Rumex crisp., Taraxacum, Urtica ur."
Incontinence,"Aloe, Arg. nit., Arsenicum alb., Belladonna, Benzoicum acidum, Bryonia, Cantharis, Causticum, Equisetum hyemale, Ferrum metallicum, Gelsemium, Ignatia, Kali phos., Lycopodium, Nat. mur., Nitricum ac., Plantago, Pulsatilla, Rhus aromatica , Sabal, Secale, Sepia, Staphysag.,Stramonium, Thyroidinum, Verbascum, Echinacea, Hydrastis"
Motion Sickness,"Absinthium, Aconitum nap., Antimon. tart., Belladonna, Bryonia, Carbolicum acidum, Colchicum, Conium, Ferrum metallicum, Gelsemium, Glonoinum, Hyoscyamus, Ipecac., Iris versicolor, Lycopodium, Nux vom., Petroleum, Phosphorus, Sepia, Symphoricarpus racemosus, Tabacum, Theridion, Zingiber, Echinacea, Hypericum, Passiflora, Valeriana"
Feminine Comfort,"Agaricus musc., Arsenicum alb., Aur. met., Berber. aqui., Caladium seguinum, Candida albicans, Cantharis, Conium, Graphites, Helonias dioica, Hydrastis, Kali carb., Kreosotum, Lycopodium, Merc. viv., Murex purpurea, Nat. mur., Nitricum ac., Pulsatilla, Rhus toxicodendron, Sepia, Sulphur, Tarentula hispana, Thuja occ., Zinc. met., Apis mel., Hamamelis"
Hair Scalp,"Apis mel., Arsenicum alb., Calc. carb., Dulcamara, Graphites, Hepar sulph. calc., Hydrastis, Hydrofluoricum acidum, Kali carb., Lycopodium, Mezereum, Oleander, Petroleum, Phosphoricum ac., Phosphorus, Rhus toxicodendron, Selenium, Sepia, Silicea, Sulphur, Hydrastis,Thuja occ."
Hair Scalp,"Apis mel., Arsenicum alb., Calc. carb., Dulcamara, Graphites, Hepar sulph. calc., Hydrastis, Hydrofluoricum acidum, Kali carb., Lycopodium, Mezereum, Oleander, Petroleum, Phosphoricum ac., Phosphorus, Rhus toxicodendron, Selenium, Sepia, Silicea, Sulphur, Thuja occ."
Leg Cramps - Swelling,"Elaps corallinus, Arg. nit., Bryonia, Calc. carb., Colocynthis, Convallaria, Crotalus horridus, Cuprum met., Digitalis, Gelsemium, Hypericum, Kali carb., Lachesis, Lathyrus sativus, Lilium, Mag. phos., Nux vom., Rhus toxicodendron, Silicea, Stramonium, Veratrum viride, Echinacea"
Sciatica - Nerve Care,"Aconitum nap., Ammonium benzoicum, Arsenicum alb., Benzoicum acidum, Bryonia, Causticum, Cinchona, Colchicum, Gnaphalium polycephalum, Iris versicolor, Kali iod., Ledum, Lithium carb., Nux vom., Phytolacca, Rhus toxicodendron, Ruta, Sambucus nig., Strychninum, Hypericum, Urtica ur."
Sciatica - Nerve Care,"Aconitum nap., Ammonium benzoicum, Arsenicum alb., Benzoicum acidum, Bryonia, Causticum, Cinchona, Colchicum, Gnaphalium polycephalum, Iris versicolor, Kali iod., Ledum, Lithium carb., Nux vom., Phytolacca, Rhus toxicoderon, Ruta, Sambucus nig., Strychninum, Hypericum, Urtica ur"
Fatigue Fighter,"Aconitum nap., Adrenalinum, Aralia quinquefolia, Arnica, Arsenicum alb., Baptisia, Bryonia, Cantharis, Chelidonium majus, Cinchona, Iodium, Kali carb., Kali iod., Lachesis, Lycopodium, Lycopus virginicus, Nat. mur., Nux vom., Phosphorus, Pulsatilla, Rhus toxicodendron, Sabal, Thyroidinum, Echinacea, Gingko, Phytolacca."
Inflammation,"Anthracinum, Pyrogenium, Aconitum nap., Aloe, Apis mel., Arnica, Arsenicum alb., Baptisia, Belladonna, Bryonia, Cantharis, Chelidonium majus, Crotalus horridus, Ferrum phosphoricum, Gaultheria procumbens, Hepar sulph. calc., Iodium, Lachesis, Nux vom., Phosphorus, Pulsatilla, Rhus toxicodendron, Veratrum viride, Verbascum, Echinacea"
Cold Hands - Feet,"Histaminum hydrochloricum,Thyroidinum, Aconitum nap., Arsenicum alb., Bryonia, Cactus, Calc. fluor., Ceanothus, Cinchona, Convallaria, Digitalis, Gelsemium, Glonoinum, Hydrocoyle, Kali carb., Lachesis, Naja, nat carb., Nat mur., Nux vom., Phosphorus, Pullsatilla, Rhus toxicodendron, Strophanthus hispidus, Sulphur, Echinacea"
Parasites,"Abrotanum, Aesculus hipp., Allium sativum, Arsenicum alb., Artemisia, Baptisia, Cina, Cuprum met., Filix mas, Granatum, Ipecac, Lachesis, Lycopodium, Merc. viv, Naphthalinum, Nat. mur., Nux vom., Pulsatilla, Ratanhia, Ruta, Sabadilla, Santoninum, Silicea, Spigelia anth., Terebinthina, Teucrium marum, Thymolum, Zingiber, Juglans regia"
Snore Soothe,"Histaminum hydrochloricum Laccaninum, Arsenicum alb., Belladonna Bryonia,Camphora, Cistus canadensis, Drosera, Hepar sulph.calc., Hydrastis, Ignatia, Iodium, Kali bic.,Kali iod., Nux vom., Phosphorus, Pulsatilla,Sabadilla, Silicea, Sticta, Sulphur, Teucriummarum, Verbascum, Echinacea."
Snore Soothe,"Histaminum hydrochloricum, Lac caninum, Arsenicum alb., Belladonna, Bryonia, Camphora, Cistus canadensis, Drosera, Hepar sulph.calc., Hydrastis, Ignatia, Iodium, Kali bic.,Kali iod., Nux vom., Phosphorus, Pulsatilla, Sabadilla, Silicea, Sticta, Sulphur, Teucrium marum, Verbascum, Echinacea"
Pollen Weeds,"Xerophyllum asphodeloides, Adrenalinum, Alfalfa, Aletris farinosa, Artemisia vulgaris, Bellis perennis, Dysphania ambrosioides, Lycopus virginicus, Phytolacca american root, Populus tremuloides, Ptelea trifoliata, Sambusus nigra, Trillium erectum root, Elymus repens root, Urtica urens, Wyethia helenioides, Yucca filamentosa, Avena sativa pollen, Cynosurus cristatus pollen. Echinochloa crus-galli pollen, Poa pratensis pollen, Anthoxanthum odoratum pollen, Agrostis gigantea pollen, Bromus secalinus pollen"
Dust - Mold - Dander,"Felis catus skin, Canis lupus familiaris skin, Ortcyolagus cuniculus skin, Equus caballus skin, Serinus canaria feather, Gallus gallus feather, Anas platyrhynchos feather, Anser anser feather, Melopsittacus undulatus feather, Phasianus colchicus feather, Meleagris gallopavo feather, Felis catus hair, Human dander, Canis lupus familiaris hair, Equus caballus hair, Oryctolagus cuniculus hair, Human hair, Human skin, Sheep wool, Bos taurus hair, Capra hircus hair, Cavia porcellus hair"
Dairy - Grain - Nightshades,"Cow milk, Skim milk, Cow milk fat, Casein lactococcus lactis cultured aged, Casein lactococcus lactis cultured penicilium roqueforti cultured aged, Casein lctococcus lactis cultured penicillium camemberti cultured aged, Barley, Corn, Wheat gluten, Oat, White rice, Rye, Wheat, Lycopersicum esculentum, Sac. lac., Solanum tuberosum,Torula cerevisiae, Ustilago maidis, Antimon. crud., Arg.nit., Arsenicum alb., Baptisia, Bryonia, Carduus benedictus, Cinchona, Gelsemium, Ipecac., Lachesis, Lycopodium"
Food Allergy - Additive,"E102 Tartrazine, E104 Quinoline yellow, E110 Sunset/Orange yellow, E122 Carmoisine, E123 Armaranth, E124 Cochineal red A, E127 Erythrosine, D128 Red 2G, E 132 Indigotine, E141 Copper/Chlorophyll Complex, E142 Green S, E211 Sodium benzoate, E212 Potassium benzoate, E216 Propyl P-hydroxybenzoate, E223 Sodium metabisulphate, E231 Orthophenylphenol, E250 Sodium nitrate, E300 Ascorbic acid, E399 Sodium mono/bi/triphosphate, E951 Aspartame, Monosodium glutamate, Beef, Pork, Lamb, Chicken, Turkey, Clam"
Hyperactivity - Mental Focus,"Adrenalinum, Tarentula cubensis, Aconitum nap., Arg. nit., Arsenicum alb., Baptisia, Chamomilla, Cypripedium, Digitalis, Gelsemium, Humulus, Ignatia, Impatiens glandulifera flos, Iodium, Lachesis, Lycopodium, Nat. mur., Nux vom., Scutellaria lateriflora, Staphysag., Stramonium, Theridion, Echinacea, Gingko, Hypericum, Passiflora"
Heavy Metal Detox,"Allium sativum, Aluminium metallicum, Arg. met., Aur. met., Baryta carb., Beryllium metallicum, Bismuthum metallicum, Cadmium metallicum, Calc. fluor., Carbo veg., Chelidonium majus, Cinchona, Cobaltum met., Cuprum met., Glycyrrhiza glabra, Hydrofluoricum acidum, Iris versicolor, Manganum metallicum, Merc. viv., Niccolum metallicum, Osmium metallicum, Platinum met., Plumb. met., Stannum met., Strontium carb., Thallium metallicum, Titanium metallicum, Carduus mar., Taraxacum"
Morning Sickness,"Bismuthum metallicum, Bryonia, Cimicifuga, Gossypium herbaceum, Ipecac., Kreosotum, Lycopodium, Mag. carb., Nux vom., Pulsatilla, Sepia, Symphoricarpus racemosus, Tabacum, Zingiber, Chamomilla, Hydrastis, Iris versicolor"
Rosacea,"Arsenicum alb., Arsenicum bromatum, Carbo animalis, Causticum, Hydrocotyle, Kali brom., Kali iod., Kreosotum, Lycopodium, Nux vom., Petroleum, Rhus toxicodendron, Sepia, Sulphur, Echinacea, Taraxacum"
Edema - Fluid Retention,"Elaps corallinus, Apis mel., Arsenicum alb., Cantharis, Cinchona, Colchicum, Convallaria, Crotalus horridus, Digitalis, Juniperus com., Lachesis, Merc. viv., Naja, Nat. carb., Nat.sulphuricum, Rhus toxicodendron, Sambucus nig., Strophanthus hispidus, Thuja occ., Vipera berus, Echinacea, Lappa, Solidago, Taraxacum, Urtica ur."
Stress Tension,"Aconitum nap. ., Arg. nit. ., Aur.met., Baptisia, Bryonia, Chelidonium majus,Cimicifuga, Conium, Gelsemium, Ignatia, Kali carb., Lachesis, Lilium, Lycopodium, Nat. carb., Nat.mur., Phosphoricum ac., Phosphorus, Picricum ac.,Plumb. met., Sepia, Staphysag., Stramonium, Thujaocc., Zinc. met., Chamomilla, Hypericum, Valeriana,"
Stress - Tension,"Aconitum nap., Arg. nit., Aur.met., Baptisia, Bryonia, Chelidonium majus, Cimicifuga, Conium, Gelsemium, Ignatia, Kali carb., Lachesis, Lilium, Lycopodium, Nat. carb., Nat.mur., Phosphoricum ac., Phosphorus, Picricum ac., Plumb. met., Sepia, Staphysag., Stramonium, Thuja occ., Zinc. met., Chamomilla, Hypericum, Valeriana"
Ear Wax Build-Up,"Elaps corallinus, Alumina, Carbo veg., Causticum, Conium, Graphites, Kali bic.,Kali mur., Lachesis, Lycopodium, Petroleum, Pulsatilla, Sabadilla, Sepia, Silicea, Spongia, Verbascum, Viola odorata"
Ear Wax Build-Up,"Elaps corallinus, Alumina, Carbo veg., Causticum, Conium, Graphites, Kali bic., Kali mur., Lachesis, Lycopodium, Petroleum, Pulsatilla, Sabadilla, Sepia, Silicea, Spongia, Verbascum, Viola odorata"
Shingles,"Apis mel., Arsenicum alb., Asterias rubens, Cantharis, Cistus canadensis, Croton, Dolichos, Dulcamara, Graphites, Grindelia, Hypericum, Iris versicolor, Lycopodium, Mezereum, Ranunc. bulb., Rhus toxicodendron, Staphysag., Sulphur, Thuja occ., Zinc. met., Chamomilla, Echinacea."
Shingles,"Apis mel., Arsenicum alb., Asterias rubens, Cantharis, Cistus canadensis, Croton, Dolichos, Dulcamara, Graphites, Grindelia, Hypericum, Iris versicolor, Lycopodium, Mezereum, Ranunc. bulb., Rhus toxicodendron, Staphysag., Sulphur, Thuja occ., Zinc. met., Chamomilla, Echinacea"
Blues - Mood - Emotions,"Angelica sinensis radix, Aralia quinquefolia, Arg. nit., Arsenicum alb., Berber. aqui., Capsicum , Cinchona, Digitalis, Gelsemium, Hypericum, Ignatia, Iodium, Kali brom., Kali carb., Mag. phos., Nat. carb., Nat. mur., Phosphorus, Salix nigra, Sanguinaria, Sepia, Stramonium, Echinacea, Ginkgo"
Ear Ringing,"Aconitum nap., Baryta carb., Baryta mur., Capsicum, Causticum, Chenopodium anthelminticum, Chininum sulphuricum, Cinchona, Glonoinum, Graphites, Hydrastis, Kali bic., Kali mur., Lycopodium, Phosphorus, Pulsatilla, Salicylicum ac., Tabacum, Thiosinaminum, Viola odorata, Hydrastis."
Ear Ringing,"Aconitum nap., Baryta carb., Baryta mur., Capsicum, Causticum, Chenopodium anthelminticum, Chininum sulphuricum, Cinchona, Glonoinum, Graphites, Hydrastis, Kali bic., Kali mur., Lycopodium, Phosphorus, Pulsatilla, Salicylicum ac., Tabacum, Thiosinaminum, Viola odorata"
Restless Leg,"Mygale, Agaricus musc., Causticum, Cinchona, Conium, Cuprum met., Gelsemium, Hyoscyamus, Hypericum, Kali carb., Mag. carb., Merc. viv., Nux vom., Plumb. met., Rhus toxicodendron, Secale, Strychninum, Tarentula hispana, Valeriana, Verbascum, Zinc. met., Chamomilla,Passiflora"
Vitiligo,"Arsenicum alb., Berber. vulg., Bovista, Dolichos, Echinacea, Hura brasiliensis, Hydrocotyle, Lycopodium, Mezereum, Rhus toxicodendron, Rumex crisp., Sepia, Taraxacum,Thuja occ., Urtica ur., Iris versicolor"
Cell Salts,"Calc. fluor., Calc. phos., Calc.sulph., Ferrum phosphoricum, Kali mur., Kali phos., Kali sulph., Mag. phos., Nat. mur., Nat. phos., Nat.sulphuricum, Silicea"
Vitality,"Adrenalinum, Aloe, Arsenicum alb., Baptisia, Berber. Aqui., Berber. vulg., Bryonia, Chelidonium majus, Crotalus horridus, Digitalis, Ferrum metallicum, Glonoinum, Glycyrrhiza glabra , Hydrocotyle, Iodium, Iris versicolor, Lachesis, Lycopodium, Nat. mur., Nux vom., Rhus toxicodendron, Ruta, Thuja occ., Thyroidinum, Echinacea, Lappa, Solidago, Taraxacum"
Natural Response,"Aconitum nap., Arnica, Arsenicum alb., Bryonia, Echinacea, Ledum, Cenchris, Crotalus casc. Crotalus hor., Lachesis, Merc. corros., Naja, Phos., Toxicophis, Vipera, Elaps cor., Heloderma"
Complementary Complex,"Influenzinum, Anthracinum, Arnica, Belladonna, Aconitum nap., Arsenicum alb., Baptisia, Bryonia, Hepar sulph. calc., Iodium, Lachesis, Lycopodium, Merc. viv., Nux vom., Phos., Pulsatilla, Rhus tox., Apis mel., Echinacea, Hydrastis, Thuja occ., Aaricus musc,. Allium sat., Aloe, Calc. carb., Calendula, Capiscum, Carduus mar., Salvia, Selenium, Taraxacum, Tarentula hisp., Zinc. met., Zingiber"
Thyroid Care,"Adrenalinum, Thyroidinum, Aloe, Calc. carb., Chelidonium majus, Conium, Graphites, Iodium, Lachesis, Lycopodium, Lycopus virginicus, Phytolacca, Rhus toxicodendron, Silicea, Spongia, Echinacea"
Lymphatic Care,"Asterias rubens, Aur. met., Belladonna, Benzoicum acidum, Berber. vulg., Bryonia, Calc. carb., Cantharis, Ceanothus, Chelidonium majus, Chionanthus virginica, Cinchona, Dioscorea, Iris versicolor, Nat. carb., Nux vom., Ptelea, Carduus mar., Echinacea, Solidago, Taraxacum"
Breast Care,"Bufo rana, Apis mel., Asterias rubens, Belladonna, Bryonia, Calc. carb., Chamomilla, Chimaphila umbellata, Cinchona, Conium, Croton, Echinacea, Graphites, Helonias dioica, Lachesis, Merc. viv., Phellandrium aquaticum Phosphorus, Phytolacca, Pulsatilla, Sanguinaria, Silicea, Hamamelis, Ruta, Taraxacum"
Cough - Airway,"Influenza A Virus, Influenza B Virus, Antimon. tart., Arsenicum alb., Bryonia, Chelidonium majus, Cinchona, Drosera, Eucalyptus, Histaminum hydrochloricum, Hydrastis, Kali bic., Kali carb.,Kali iod., Myrrha, Nat. sulphuricum, Nux vom., Phosphorus, Pulsatilla, Rumex crisp., Sambucus nig., Spongia, Tussilago farfara, Verbascum, Echinacea, Lappa"
Morning Sickness - Nausea,"Bismuthum metallicum, Bryonia, Cimicifuga, Gossypium herbaceum, Ipecac., Kreosotum, Lycopodium, Mag. carb., Nux vom., Pulsatilla, Sepia, Symphoricarpus racemosus, Tabacum, Zingiber, Chamomilla, Hydrastis, Iris versicolor"
Drainer,"BENZOIC ACIDUM, BERBERIS VULG., BRYONIA, CANTHARIS,CARDUUS BENEDICTUS, CEANOTHUS, CHELIDONIUM MAJUS, CHIONANTHUS VIRGINICA, CINCHONA, DIOSCOREA, DOLICHOS, IRIS VERSICOLOR, JUNIPERUS COM., NUX VOM., PTELEA, TARAXACUM, URICUM ACIDUM, CARDUUS MAR., CYNARA SCOLYMUS, SOLIDAGO, TARAXACUM"
Drainer,"BENZOICUM ACIDUM, BERBERIS VULG., BRYONIA, CANTHARIS, CARDUUS BENEDICTUS, CEANOTHUS, CHELIDONIUM MAJUS, CHIONANTHUS VIRGINICA, CINCHONA, DIOSCOREA, DOLICHOS, IRIS VERSICOLOR, JUNIPERUS COM., NUX VOM., PTELEA, TARAXACUM, URICUM ACIDUM, CARDUUS MAR., CYNARA SCOLYMUS, SOLIDAGO"
Eczema Skin Care,"Antimon. crud., Arsenicum alb., Berber. vulg., Bovista , Bryonia , Cantharis , Chelidonium majus, Croton, Dulcamara, Graphites, Hepar sulph. calc., Lycopodium Mezereum, Nux vom, Petroleum, Pulex irritans, Pulsatilla, Rhus toxicodendron, Sarsaparilla, Sepia, Sulphur iod, Echinacea, Rumex crisp., Taraxacum , Urtica ur., Echinacea, Rumex crisp., Taraxacum, Urtica ur."
Eczema Skin Care,"Antimon. crud., Arsenicum alb., Berber. vulg., Bovista , Bryonia , Cantharis , Chelidonium majus, Croton, Dulcamara, Graphites, Hepar sulph. calc., Lycopodium Mezereum, Nux vom, Petroleum, Pulex irritans, Pulsatilla, Rhus toxicodendron, Sarsaparilla, Sepia, Sulphur iod, Echinacea, Rumex crisp., Taraxacum , Urtica ur."
Insomnia,"Absinthium, Anacardium occidentale, Arg. nit., Arsenicum alb., Belladonna, Bryonia,Calc. carb., Camphora, Chamomilla, Cimicifuga,Cinchona, Coffea cruda, Cypripedium, Gelsemium,Humulus, Hyoscyamus, Ignatia, Kali brom., Nuxvom., Passiflora, Pulsatilla, Scutellaria lateriflora,Sepia, Thuja occ., Passiflora, aleriana, Passiflora,Valeriana"
Insomnia,"Absinthium, Anacardium occidentale, Arg. nit., Arsenicum alb., Belladonna, Bryonia, Calc. carb., Camphora, Chamomilla, Cimicifuga, Cinchona, Coffea cruda, Cypripedium, Gelsemium, Humulus, Hyoscyamus, Ignatia, Kali brom., Nux vom., Passiflora, Pulsatilla, Scutellaria lateriflora, Sepia, Thuja occ., Valeriana"
Bronchitis-Asthma,"Influenza A Virus, Influenza B Virus, Antimon. tart., Arsenicum alb., Bryonia, Camphora, Chelidonium majus, Cinchona, Drosera, Eucalyptus, Hepar sulph. calc., Histaminum hydrochloricum, Ipecac., Kali bic., Kali carb., Kali iod., Lycopodium, Myrrha, Natrum sulphuricum, Nux vom., Phosphorus, Pulsatilla, Sanguinaria, Spongia , Stannum met., Tussilago farfara, Verbascum, Echinacea, Lappa, Rumex crisp."
Bronchitis - Asthma,"Influenza A Virus, Influenza B Virus, Antimon. tart., Arsenicum alb., Bryonia, Camphora, Chelidonium majus, Cinchona, Drosera, Eucalyptus, Hepar sulph. calc., Histaminum hydrochloricum, Ipecac., Kali bic., Kali carb., Kali iod., Lycopodium, Myrrha, Natrum sulphuricum, Nux vom., Phosphorus, Pulsatilla, Sanguinaria, Spongia , Stannum met., Tussilago farfara, Verbascum, Echinacea, Lappa, Rumex crisp."
Fear Phobia,"Aconitum nap., Anacardium orientale, Arg. nit., Arsenicum alb., Cypripedium,Gelsemium, Ignatia, Kali carb., Lycopodium, Nat. mur., Phosphorus, Sambucus nig., Sepia, Staphysag., Stramonium, Tarentula hispana,Theridion, Passiflora, Valeriana"
Influenza,"Influenzinum (combo), Histaminum hydrochloricum, Aconitum nap., Aralia quinquefolia, Arsenicum alb., Baptisia, Bryonia, Cinchona, Eupatorium perf., Gelsemium, Ipecac., Kali carb., Nux vom., Phosphorus, Rhus toxicodendron, Echinacea"
Ear Care,"Influenzinum, Tellurium metallicum, Apis mel, Arsenicum alb., Belladonna, Bryonia, Capsicum, Causticum, Cinchona, Conium, Dulcamara, Ferrum phosphoricum, Hepar sulph. calc., Kali sulph., Lycopodium, Merc. viv., Mezereum, Phosphorus, Plantago, Pulsatilla, Silicea, Verbascum, Echinacea, Hydrastis"
Sinusitis,"Arsenicum iodatum, Bryonia, Cistus canadensis, Hepar sulph. calc., Histaminum hydrochloricum, Hydrastis, Iodium, Kali bic., Kali iod., Merc. iod. rub., Merc. viv., Nux vom., Phosphorus, Pulsatilla, Sabadilla, Sticta, Verbascum, Echinacea"
Cold Cough,"Influenzinum, Aralia quinquefolia, Arsenicum alb., Bryonia, Euphrasia, Gaultheria procumbens, Gelsemium, Hepar sulph. calc., Histaminum hydrochloricum, Hydrastis, Kali bic., Merc. viv., Phosphorus, Pulsatilla, Rhus toxicodendron, Sabadilla, Salvia, Sticta, Verbascum, Echinacea, Hydrastis"
Cold - Cough,"Influenzinum, Aralia quinquefolia, Arsenicum alb., Bryonia, Euphrasia, Gaultheria procumbens, Gelsemium, Hepar sulph. calc., Histaminum hydrochloricum, Hydrastis, Kali bic., Merc. viv., Phosphorus, Pulsatilla, Rhus toxicodendron, Sabadilla, Salvia, Sticta, Verbascum, Echinacea"
Hypertension,"Elaps corallinus, Adrenalinum, Arsenicum iodatum , Aur. met., Baryta carb., Bryonia, Cactus, Chelidonium majus, Cinchona, Crotalus horridus, Digitalis, Glonoinum, Kali carb., Kali iod ., Lachesis , Naja , Nux vom., Veratrum alb., Vipera berus, Viscum, Ruta, Valeriana"
Constipation,"Abies nig., Aesculus hipp., Aloe, Alumina, Bryonia, Carbo veg., Chelidonium majus, Collinsonia, Graphites, Hydrastis, Kali carb., Lycopodium, Mag. mur., Mezereum, Nux vom., Podoph. pelt., Rhamnus purshiana, Sanicula, Selenium, Sepia, Silicea, Tabacum, Veratrum alb., Zinc. met., Echinacea, Iris versicolor, Phytolacca, Taraxacum,"
Diabetes,"Arg. met., Arsenicum alb, Aur. met., Bovista, Bryonia, Chelidonium majus, Chionanthus virginica, Gaultheria procumbens, Helonias dioica, Iris versicolor, Lycopodium, Nux vom, Phosphorus, Rhus toxicodendron, Sabal, Syzygium, Cynara, Echinacea, Iris versicolor, Thuja occ., Urtica ur"
Diabetes,"Arg. met., Arsenicum alb, Aur. met., Bovista, Bryonia, Chelidonium majus, Chionanthus virginica, Gaultheria procumbens, Helonias dioica, Iris versicolor, Lycopodium, Nux vom, Phosphorus, Rhus toxicodendron, Sabal, Syzygium, Cynara, Echinacea, Thuja occ., Urtica ur"
Arthritic Joint Care,"Aconitum nap., Apis mel., Arnica, Arsenicum alb., Belladonna, Benzoicum acidum,Bryonia, Calc. carb., Chamomilla, Cinchona, Colchicum, Eupatorium perf., Gaultheria procumbens, Guaiacum, Iodium, Kali bic., Kalmia, Ledum,Pulsatilla, Rhus xicodendron, Ruta, Sabina, Strychninum, Uricum acidum, Lappa, Phytolacca, Symphytum,"
Arthritic - Joint Care,"Aconitum nap., Apis mel., Arnica, Arsenicum alb., Belladonna, Benzoicum acidum,Bryonia, Calc. carb., Chamomilla, Cinchona, Colchicum, Eupatorium perf., Gaultheria procumbens, Guaiacum, Iodium, Kali bic., Kalmia, Ledum,Pulsatilla, Rhus xicodendron, Ruta, Sabina, Strychninum, Uricum acidum, Lappa, Phytolacca, Symphytum,"
Gas Indigestion,"Pyrogenium, Antimon. crud., Arsenicum alb., Baptisia, Bryonia, Carbo veg.,Chelidonium majus, Cinchona, Colchicum, Daphne indica, Ipecac., Iris versicolor, Kali carb.,Kreosotum, Lachesis, Lycopodium, Mag. carb., Merc. viv, Nux vom., Phosphorus, Pulsatilla, Spigelia anth., Sulphur, Chamomilla, Echinacea, Iris versicolor, Ruta, Taraxacum"
Gas - Indigestion,"Pyrogenium, Antimon. crud., Arsenicum alb., Baptisia, Bryonia, Carbo veg.,Chelidonium majus, Cinchona, Colchicum, Daphne indica, Ipecac., Iris versicolor, Kali carb.,Kreosotum, Lachesis, Lycopodium, Mag. carb., Merc. viv, Nux vom., Phosphorus, Pulsatilla, Spigelia anth., Sulphur, Chamomilla, Echinacea, Ruta, Taraxacum"
